(air) susu dibalas dng (air) tuba	[pb] kebaikan dibalas dng kejahatan
(bagai) duri dl daging	[pb] sesuatu yg selalu menyakitkan hati atau mengganggu pikiran
(ke)robohan	(ke)ro.boh.an<br>[n] runtuhan; reruntuhan; puing
(ke)tikan	(ke).tik.an<br>[n] yg; hasil mengetik: ~ nya rapi
(main) galah panjang	permainan anak-anak dng garis-garis berbentuk petak-petak di tanah
(me)merosot	(me.)me.ro.sot<br>[v] meluncur ke bawah
(persetujuan) masih di awang	[ki] masih jauh (belum lagi tentu)
(pun lah)	(...pun ...lah)<br>untuk menyatakan aspek bahwa perbuatan mulai terjadi: hari -- malamlah; (5) untuk menguatkan dan menyatakan pokok kalimat: maka baginda -- bertanya pula
(sbg durian) pangsa menunjukkan bangsa (sbg durian menunjukkan pangsa nya)	[pb] kelakuan (perkataan dsb) seseorang menunjukkan tinggi rendahnya budi pekerti (asal dsb)
(spt) abu di atas tanggul	[pb] tidak tetap kedudukannya (sewaktu-waktu dapat dipecat dsb)
(spt) anjing terpanggang ekor	[pb] mendapat kesusahan yg amat sangat sehingga tidak keruan tingkah lakunya: (spt) disalak -- bertuah, pb tidak dapat bertangguh lagi
(ter) tungkus lumus	[ki] terbenam di dl pekerjaan (kesusahan, utang, dsb)
-an	[sufiks pembentuk nomina] (1) hasil tindakan: buatan; catatan; didikan;  (2) yg biasa dikenai tindakan; yg di-: makanan; bacaan;  (3) tempat; lokasi: kubangan; pangkalan; tepian; awalan;  (4) alat untuk mengukur atau menghitung: meteran; timbangan;  (5) hal atau cara: tembakan<br><br>[sufiks pembentuk nomina] (1) kumpulan; gugusan: puluhan; ribuan; sayuran; daratan; lautan;  (2) yg mempunyai atau mengandung: durian; rambutan;  (3) cak yg menyerupai: gunungan; piringan<br><br>[sufiks pembentuk adjektiva] (1) sesuatu yg mempunyai sifat: manisan; asinan;  (2) cak intensitas: tinggian; besaran<br><br>[cak sufiks pembentuk verba] melakukan sesuatu yg pelaku atau tindakannya banyak (saling): jualan; pacaran;  (2) sufiks pembentuk nomina kegiatan yg berkenaan dng pelaku atau tindakan yg banyak: lebaran; natalan; syukuran
-anda (-nda	[bentuk terikat] menyatakan hormat atau kekeluargaan: ayahanda; ibunda; pamanda
-asi	lihat -isasi
-da	lihat 2-anda
-el-	[infiks pembentuk nomina] (1) yg melakukan: pelatuk; (2) alat: telapak; telunjuk;  (3) benda yg kelopak: gelembung;  (4) kumpulan: gerigi<br><br>[infiks pembentuk verba] terjadi, berlaku, atau melakukan: geleser; kelupas
-em-	[infiks pembentuk numeralia] kumpulan (banyak, aneka): gemunung; temali<br><br>[infiks pembentuk verba] berulang-ulang atau terus-menerus: gemerlap;  gemerencing
-er-	[infiks pembentuk nomina] (1) alat: seruling;  (2) yg memiliki, mengandung, atau bersifat: gerigi<br><br>[infiks pembentuk verba] berulang (terus-menerus): geresek; seruak; seruduk;  (2) infiks pembentuk adjektiva mengandung (bersifat): kerontang
-i	[sufiks pembentuk verba] (1) memberikan: sampuli; selimuti; pagari;  (2) berulang-ulang: lempari; pukuli; sirami;  (3) di; pada: jalani; turuni; naiki; kirimi
-i (-iah	[sufiks pembentuk adjektiva] berkenaan dng; berdasar pd: alami; alamiah; badani; badaniah; duniawi; duniawiah; surgawi; gerejani
-iah	lihat 1-i
-if	[sufiks pembentuk adjektiva] bersifat melakukan atau menunjukkan mutu kegiatan: kohesif; relatif; responsif
-is	[sufiks pembentuk adjektiva] berkaitan dng: astronomis; psikologis; strategis<br><br>[sufiks pembentuk nomina] orang yg bergerak atau ahli dalam (insani): jurnalis; kartunis; linguis
-isasi (-asi)	[sufiks pembentuk nomina] proses, cara, perbuatan: aktualisasi; legalisasi; lokalisasi
-isme	[sufiks pembentuk nomina] sistem kepercayaan berda-sarkan politik, sosial, atau ekonomi: terorisme; liberalisme; komunisme
-itas	[sufiks pembentuk nomina] kualitas; keadaan; tingkat: loyalitas; intensitas
